annual_cost,avg_award,inst_name,intl_awarded,link,state_init,state_name,total_intl
32320,4000,Embry-Riddle Aeronautical University,6,http://www.embryriddle.edu,AZ,Arizona,50
18012,8691,Harding University,114,http://www.harding.edu,AR,Arkansas,148
23430,3217,Alliant International University,0,http://www.alliant.edu,CA,California,101
43910,2633,Art Center College of Design,0,http://www.artcenter.edu,CA,California,280
35840,2500,Azusa Pacific University,0,http://www.apu.edu,CA,California,129
40610,0,California Institute of the Arts,0,http://www.calarts.edu,CA,California,123
35070,12000,California Lutheran University,25,http://www.callutheran.edu,CA,California,84
18268,3030,California State University San Bernardino,0,http://www.csusb.edu,CA,California,370
39910,0,Chapman University,0,http://www.chapman.edu,CA,California,152
42690,10000,Claremont McKenna College,0,http://www.claremontmckenna.edu,CA,California,103
40396,7296,Dominican University of California,33,http://www.dominican.edu,CA,California,334
15854,0,Foothill and De Anza Colleges,350,http://www.international.fhda.edu,CA,California,900
39752,0,Loyola Marymount University,7,http://lmu.edu,CA,California,170
33376,3800,"Marymount College, Palos Verdes",17,http://www.marymountpv.edu,CA,California,109
38100,11000,Menlo College,63,http://www.menlo.edu,CA,California,178
38470,4000,Notre Dame de Namur University,6,http://www.ndnu.edu,CA,California,59
42078,31399,Occidental College,4,http://http//www.oxy.edu,CA,California,129
41586,0,Otis College of Art and Design,0,http://www.otis.edu,CA,California,125
44870,22950,Pepperdine University,60,http://www.pepperdine.edu/,CA,California,236
44066,6000,Saint Mary's College of California,7,http://www.stmarys-ca.edu,CA,California,100
47011,29081,Stanford University,203,http://admission.stanford.edu,CA,California,885
46482,11000,University of San Diego,0,http://www.sandiego.edu,CA,California,99
43050,0,University of San Francisco,0,http://www.usfca.edu,CA,California,399
46100,17000,University of Southern California,74,http://www.usc.edu,CA,California,1120
38766,15000,Whittier College,10,http://www.whittier.edu,CA,California,40
33754,6868,Naropa University,15,http://www.naropa.edu,CO,Colorado,41
44059,0,The Colorado College,5,http://www.coloradocollege.edu/admission/intl,CO,Colorado,57
40828,8400,University of Denver,110,http://www.du.edu,CO,Colorado,147
47490,38774,CT College,56,http://www.CTcollege.edu,CT,Connecticut,209
43390,0,Fairfield University,0,http://www.fairfield.edu,CT,Connecticut,66
37240,16000,Quinnipiac University,25,http://www.quinnipiac.edu,CT,Connecticut,104
35904,0,Sacred Heart University,0,http://www.sacredheart.edu,CT,Connecticut,124
42290,0,Trinity College (Hartford),15,http://www.trincoll.edu,CT,Connecticut,117
30340,12111,University of Bridgeport,39,http://www.bridgeport.edu,CT,Connecticut,220
46480,41751,Wesleyan University,49,http://www.wesleyan.edu,CT,Connecticut,193
47750,30818,Yale University,77,http://www.yale.edu,CT,Connecticut,478
23438,6000,Goldey-Beacom College,18,http://www.gbc.edu,DE,Delaware,246
29895,0,University of Delaware,0,http://www.udel.edu,DE,Delaware,157
43799,15793,American University,107,http://admissions.american.edu,DC,District Of Columbia,414
35716,5000,The Catholic University of America,100,http://www.cua.edu,DC,District Of Columbia,240
51820,18900,The George Washington University,70,http://www.gwu.edu/~go2gw,DC,District Of Columbia,800
39270,8500,Eckerd College,65,http://www.eckerd.edu,FL,Florida,125
33420,0,Embry-Riddle Aeronautical University,0,http://www.embryriddle.edu/international,FL,Florida,351
37900,8000,FL Institute of Technology,120,http://www.fit.edu,FL,Florida,408
29340,5400,FL Southern College,0,http://www.flsouthern.edu,FL,Florida,126
